Rank,Camera1_Performance,Camera2_Performance,Camera3_Performance,Camera4_Performance,Camera5_Performance,Camera6_Performance,Camera7_Performance,Camera8_Performance,Camera9_Performance,Camera10_Performance,Camera11_Performance
393,37.892901589149716,24.49817882873792,50.11432581247337,17.92010625156476,0.0,48.867813129115284,45.76721162594292,36.57172551468004,46.32448845864028,0.0,0.0
394,45.61307542325832,47.12188526891328,36.81011570116184,43.85081855816668,0.0,0.0,0.0,32.55599194676336,0.0,50.02341357034008,0.0
395,36.237288555569194,37.44945828377539,34.25021988988192,48.081007876132844,0.0,0.0,0.0,35.07809208886212,0.0,39.84982532597668,0.0
396,35.85466605081017,42.34399334284916,38.219558949399165,32.01744203186124,0.0,48.88370968826076,0.0,37.32730384491152,44.18939465016008,50.24191652255744,0.0
397,42.473107028358605,39.09648751305737,42.99368214377216,33.51449867765952,0.0,0.0,0.0,54.41362236944804,0.0,45.799644581905795,0.0
398,40.76029074508436,28.704779301728323,51.59135432375729,22.46358573679748,0.0,42.10810393437292,31.47858754063232,20.44056097528915,34.750474920629756,0.0,0.0
399,34.552676900862124,36.354651892357204,39.64363882172792,12.905192384886362,55.65869861010564,46.63132903402432,0.0,41.0197374362374,37.26126906672456,0.0,33.6467631000322
400,35.05034350455452,34.246858310569,39.9223060798808,20.7876853848284,0.0,43.534891470870086,50.6318147699464,22.856429394880923,40.72333270423304,0.0,0.0
401,44.7112137837726,44.41061253357192,52.52741629671368,31.798829994187237,0.0,21.724853292235604,0.0,49.88297522149392,50.33197108839248,36.9978804157614,0.0
402,44.91579890619292,30.255327676997684,49.22059052823893,33.4366291826748,0.0,0.0,0.0,31.996688661350923,0.0,42.376955338824516,0.0
403,58.765003196887356,35.063654470618964,50.27754918657013,32.71920924222696,0.0,47.95449197978364,38.36096578296985,37.052649459459595,49.27128716615713,0.0,0.0
404,37.578509037007365,56.62511157917096,31.155566774124644,16.29752377645108,0.0,28.679038737293038,38.34702660402853,40.56490612329736,55.16190976418005,0.0,0.0
405,54.96229730506623,52.708787182671,35.585661618400124,35.37392513264444,0.0,35.46711280614288,39.29151904861492,22.77815119683376,43.4813015110474,0.0,0.0
406,45.28226887440449,43.268510097122835,44.28187682800221,28.077894236416284,28.944891978945243,49.174991109490875,0.0,49.70696843817161,41.906002092039884,0.0,32.37891602937568
407,50.12722136115965,43.891516225298396,37.622809171951445,43.17689090888188,0.0,0.0,0.0,31.303094561956325,0.0,27.367003996627997,0.0
408,44.276111999045874,41.421818697891,38.15068141098516,27.27721618436092,0.0,43.690207536598045,41.45792852990204,46.72545039174176,50.74710769817452,0.0,0.0
409,37.229799353286644,45.92526828111128,44.79365392690444,12.968780790889681,0.0,40.08196169634777,27.028363327396676,25.730571179731598,28.33176307806136,0.0,0.0
410,44.168514271280486,46.49510974658908,33.94927025931736,53.789440915384446,0.0,37.19924602822084,0.0,44.221361430101716,43.020368125041564,22.189343743417123,0.0
411,42.01922282511612,35.68118452286844,37.22200767637583,11.355490556588682,51.03871642431448,32.28568159492512,0.0,39.135541771005606,34.29000291757056,0.0,36.24768380419132
412,47.48755214135712,52.636504269539444,36.73039061982208,37.15507974259692,0.0,47.33903137136101,0.0,57.884977294639285,47.735046356655566,35.78614111447356,0.0
413,40.027663578771964,32.63273611534473,39.7435717091246,27.466912627821884,0.0,51.038215827436,23.719811492934877,30.81170630711564,34.51453101004848,0.0,0.0
414,23.476004000598483,33.76169319261532,54.53186370326256,14.84928378020448,0.0,38.1595481080564,35.46918668378088,32.83511232301976,17.285150683704558,0.0,0.0
415,44.07639994283789,59.178657819848404,45.00350597094192,44.17878714532193,0.0,47.79643042054552,0.0,42.17458552190128,47.4995081129654,56.549138240698525,0.0
416,32.67558207464704,27.185871025740084,41.184390425872444,9.94273060678716,0.0,25.376284309632922,31.829085194664597,47.842892571304795,43.10633490556981,0.0,0.0
417,45.93529735413176,53.90017547841528,42.496272004893285,16.018748815498963,0.0,34.24390228266288,26.65394396473588,28.23388437884012,25.94620179733116,0.0,0.0
418,35.14626616977644,42.12915601899916,48.58856371649296,37.834545263461564,0.0,46.92701355486645,0.0,50.86514197605616,41.618192617238435,42.059716436130884,0.0
419,39.55539456784576,44.042970144362755,38.971752336713685,48.14434609328216,0.0,0.0,0.0,43.84306478122004,0.0,35.73902555857412,0.0
420,25.448758617951917,46.84080290010252,31.236619798391324,41.911551415737556,0.0,0.0,0.0,30.664749154442838,0.0,36.33484714567392,0.0
421,46.213835161575204,36.11442907305652,42.016786985044085,23.660241130120763,0.0,38.350469487298966,38.28742913612884,46.162219903313805,44.70576367074704,0.0,0.0
422,49.00445583667076,37.161207909131875,36.738111610959955,26.953648973038195,40.34626017353639,40.534875903112884,0.0,36.34883103148676,42.897318688299954,0.0,43.0410055608224
423,41.991767106484204,38.989036210767964,47.04513051707584,32.583205299421245,0.0,42.97608567871576,0.0,47.45280604697149,41.27140063393132,37.838154510530245,0.0
424,43.92930349011523,39.043798916500286,47.431353897124524,33.605079141731366,0.0,0.0,0.0,61.433352753630885,0.0,31.0182286757836,0.0
425,39.0239559352758,42.85776855006901,38.233726190279924,22.266779804327243,35.80519579508788,0.0,0.0,55.49353487081208,0.0,0.0,43.353989477412355
