Rank,Angle1,Distance1,Density1,Angle2,Distance2,Density2,Angle3,Distance3,Density3,Angle4,Distance4,Density4,Angle5,Distance5,Density5,Angle6,Distance6,Density6,Angle7,Distance7,Density7,Angle8,Distance8,Density8,Angle9,Distance9,Density9,Angle10,Distance10,Density10,Angle11,Distance11,Density11
 5,7.40406238560297,3.72225107158621,1,7.17815311131493,5.63436171737239,1,5.95033966534457,3.17094163528023,2,7.40406238560297,0,0,0,0,0,2.56562204308624,5.71523169956902,6,4.84944883823944,6.02601309691203,1,5.51175229950434,5.95314923404743,2,5.28306147205346,6.15972801082041,6,0,0,0,0,0,0
 6,6.26958145501928,3.99113550028187,1,5.29598660709305,2.24989283072888,0,0,0,0,6.26958145501928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 6,6.26958145501928,3.99113550028187,1,5.29598660709305,2.24989283072888,1,6.1735250626743,3.04516193081875,0,6.26958145501928,0,0,0,0,0,0,0,0,0,0,0,5.89024795857525,6.42430785290442,0,0,0,0,0,0,0,0,0,0
 6,6.26958145501928,3.99113550028187,1,5.29598660709305,2.24989283072888,1,6.1735250626743,3.04516193081875,4,6.26958145501928,0,0,0,0,0,0,0,0,0,0,0,5.89024795857525,6.42430785290442,4,0,0,0,0,0,0,0,0,0
 6,6.26958145501928,3.99113550028187,1,5.29598660709305,2.24989283072888,1,6.1735250626743,3.04516193081875,4,6.26958145501928,0,0,4.43022707234652,3.65652794620215,1,0,0,0,0,0,0,5.89024795857525,6.42430785290442,4,0,0,0,0,0,0,5.8577612844095,5.44351297380639,1
 7,8.64786930280753,6.19398637940864,1,6.59680412174353,3.34721888969639,0,0,0,0,8.64786930280753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 7,8.64786930280753,6.19398637940864,1,6.59680412174353,3.34721888969639,1,7.75273979959294,6.38247344948543,0,8.64786930280753,0,0,0,0,0,0,0,0,0,0,0,6.17674381042918,3.65117404617523,0,0,0,0,0,0,0,0,0,0
 7,8.64786930280753,6.19398637940864,1,6.59680412174353,3.34721888969639,1,7.75273979959294,6.38247344948543,2,8.64786930280753,0,0,0,0,0,5.63302868455001,3.26618622722534,0,0,0,0,6.17674381042918,3.65117404617523,2,6.59677652432046,4.60851580825378,0,0,0,0,0,0,0
 7,8.64786930280753,6.19398637940864,1,6.59680412174353,3.34721888969639,1,7.75273979959294,6.38247344948543,2,8.64786930280753,0,0,0,0,0,5.63302868455001,3.26618622722534,5,0,0,0,6.17674381042918,3.65117404617523,2,6.59677652432046,4.60851580825378,5,0,0,0,0,0,0
 7,8.64786930280753,6.19398637940864,1,6.59680412174353,3.34721888969639,1,7.75273979959294,6.38247344948543,2,8.64786930280753,0,0,0,0,0,5.63302868455001,3.26618622722534,5,3.28816714020866,6.53510074352838,2,6.17674381042918,3.65117404617523,2,6.59677652432046,4.60851580825378,5,0,0,0,0,0,0
 8,5.28651019283901,6.00630934290448,2,6.78861608846338,5.92088177578451,0,0,0,0,5.28651019283901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 8,5.28651019283901,6.00630934290448,2,6.78861608846338,5.92088177578451,2,4.7903798322272,5.00896891817633,0,5.28651019283901,0,0,0,0,0,0,0,0,0,0,0,4.96433732717778,5.0637419420305,0,0,0,0,0,0,0,0,0,0
 8,5.28651019283901,6.00630934290448,2,6.78861608846338,5.92088177578451,2,4.7903798322272,5.00896891817633,3,5.28651019283901,0,0,0,0,0,5.42294133687634,5.10001192135238,0,0,0,0,4.96433732717778,5.0637419420305,3,7.53096166801897,5.26376135539883,0,0,0,0,0,0,0
 8,5.28651019283901,6.00630934290448,2,6.78861608846338,5.92088177578451,2,4.7903798322272,5.00896891817633,3,5.28651019283901,0,0,0,0,0,5.42294133687634,5.10001192135238,1,0,0,0,4.96433732717778,5.0637419420305,3,7.53096166801897,5.26376135539883,1,0,0,0,0,0,0
 8,5.28651019283901,6.00630934290448,2,6.78861608846338,5.92088177578451,2,5.51446012257232,6.58677264998625,3,5.28651019283901,0,0,0,0,0,5.42294133687634,5.10001192135238,1,0,0,0,8.00835663995754,7.44486411040061,3,7.53096166801897,5.26376135539883,1,0,0,0,0,0,0
 8,5.28651019283901,6.00630934290448,2,6.78861608846338,5.92088177578451,2,5.51446012257232,6.58677264998625,3,5.28651019283901,4.54615476210668,2,0,0,0,5.42294133687634,5.10001192135238,1,0,0,0,8.00835663995754,7.44486411040061,3,7.53096166801897,5.26376135539883,1,6.16003836582551,6.35465723753511,2,0,0,0
 9,6.96413327250888,5.18426820683613,1,8.11561817801373,3.16576536890779,0,0,0,0,6.96413327250888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 9,6.96413327250888,5.18426820683613,1,8.11561817801373,3.16576536890779,2,6.44398758965067,4.01856316423965,0,6.96413327250888,0,0,0,0,0,0,0,0,0,0,0,5.16872057469016,6.9061699071948,0,0,0,0,0,0,0,0,0,0
 9,6.96413327250888,5.18426820683613,1,8.11561817801373,3.16576536890779,2,6.44398758965067,4.01856316423965,3,6.96413327250888,0,0,0,0,0,5.99408992140045,5.05643889320811,0,0,0,0,5.16872057469016,6.9061699071948,3,4.24028598654855,4.539237848129,0,0,0,0,0,0,0
 9,6.96413327250888,5.18426820683613,1,8.11561817801373,3.16576536890779,2,6.44398758965067,4.01856316423965,3,6.96413327250888,0,0,0,0,0,5.99408992140045,5.05643889320811,2,0,0,0,5.16872057469016,6.9061699071948,3,4.24028598654855,4.539237848129,2,0,0,0,0,0,0
 9,6.96413327250888,5.18426820683613,1,8.11561817801373,3.16576536890779,2,9.07053463992812,3.63773992070485,3,6.96413327250888,0,0,0,0,0,5.99408992140045,5.05643889320811,2,0,0,0,8.08263248229738,5.0160584925001,3,4.24028598654855,4.539237848129,2,0,0,0,0,0,0
 9,6.96413327250888,5.18426820683613,1,8.11561817801373,3.16576536890779,2,9.07053463992812,3.63773992070485,3,6.96413327250888,3.08903765040857,2,0,0,0,5.99408992140045,5.05643889320811,2,0,0,0,8.08263248229738,5.0160584925001,3,4.24028598654855,4.539237848129,2,6.54369624559094,4.9939578182017,2,0,0,0
 10,4.51971216160872,4.45046201859027,1,7.67185483543245,5.04782935680568,0,0,0,0,4.51971216160872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10,4.51971216160872,4.45046201859027,1,7.67185483543245,5.04782935680568,1,6.89375569545502,6.51958155646185,0,4.51971216160872,0,0,0,0,0,0,0,0,0,0,0,5.44881602088468,7.80764034898797,0,0,0,0,0,0,0,0,0,0
 10,4.51971216160872,4.45046201859027,1,7.67185483543245,5.04782935680568,1,6.89375569545502,6.51958155646185,2,4.51971216160872,0,0,0,0,0,3.87289152568652,5.51399217075323,0,0,0,0,5.44881602088468,7.80764034898797,2,3.68672580971895,1.87700342999929,0,0,0,0,0,0,0
 10,4.51971216160872,4.45046201859027,1,7.67185483543245,5.04782935680568,1,6.89375569545502,6.51958155646185,2,4.51971216160872,0,0,0,0,0,3.87289152568652,5.51399217075323,2,0,0,0,5.44881602088468,7.80764034898797,2,3.68672580971895,1.87700342999929,2,0,0,0,0,0,0
 10,4.51971216160872,4.45046201859027,1,7.67185483543245,5.04782935680568,1,6.89375569545502,6.51958155646185,2,4.51971216160872,0,0,0,0,0,3.87289152568652,5.51399217075323,2,6.40330443502993,3.92046653326817,1,5.44881602088468,7.80764034898797,2,3.68672580971895,1.87700342999929,2,0,0,0,0,0,0
 11,9.07822656983743,3.33512569567915,1,6.55264208564651,3.94782635494083,0,0,0,0,9.07822656983743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 11,9.07822656983743,3.33512569567915,1,6.55264208564651,3.94782635494083,1,6.46431131810981,5.6883801249984,0,9.07822656983743,0,0,0,0,0,0,0,0,0,0,0,4.83532188422101,5.82205179887142,0,0,0,0,0,0,0,0,0,0
 11,9.07822656983743,3.33512569567915,1,6.55264208564651,3.94782635494083,1,6.46431131810981,5.6883801249984,3,9.07822656983743,0,0,0,0,0,3.96443894298945,4.37947789795417,0,0,0,0,4.83532188422101,5.82205179887142,3,4.31306860354228,2.57683268900409,0,0,0,0,0,0,0
 11,9.07822656983743,3.33512569567915,1,6.55264208564651,3.94782635494083,1,6.46431131810981,5.6883801249984,3,9.07822656983743,0,0,0,0,0,3.96443894298945,4.37947789795417,3,0,0,0,4.83532188422101,5.82205179887142,3,4.31306860354228,2.57683268900409,3,0,0,0,0,0,0
 11,9.07822656983743,3.33512569567915,1,6.55264208564651,3.94782635494083,1,6.46431131810981,5.6883801249984,3,9.07822656983743,0,0,0,0,0,3.96443894298945,4.37947789795417,3,4.32348047139321,3.82421018373124,1,4.83532188422101,5.82205179887142,3,4.31306860354228,2.57683268900409,3,0,0,0,0,0,0
 12,8.22854325133551,4.55812146587474,1,5.86185840927541,3.31463754319139,0,0,0,0,8.22854325133551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 12,8.22854325133551,4.55812146587474,1,5.86185840927541,3.31463754319139,1,5.77379327209262,3.97879021667908,0,8.22854325133551,0,0,0,0,0,0,0,0,0,0,0,3.81962507605004,6.45870842505877,0,0,0,0,0,0,0,0,0,0
 12,8.22854325133551,4.55812146587474,1,5.86185840927541,3.31463754319139,1,5.77379327209262,3.97879021667908,2,8.22854325133551,0,0,0,0,0,0,0,0,0,0,0,3.81962507605004,6.45870842505877,2,0,0,0,0,0,0,0,0,0
 12,8.22854325133551,4.55812146587474,1,5.86185840927541,3.31463754319139,1,5.77379327209262,3.97879021667908,2,8.22854325133551,0,0,7.26679803295827,4.07092795276835,1,0,0,0,0,0,0,3.81962507605004,6.45870842505877,2,0,0,0,0,0,0,5.99358171794795,7.84802526948086,1
