Rank,Angle1,Distance1,Density1,Angle2,Distance2,Density2,Angle3,Distance3,Density3,Angle4,Distance4,Density4,Angle5,Distance5,Density5,Angle6,Distance6,Density6
18,6.920288866,3.325453926,1,3.53062473,6.3508047,1,5.325581293,7.31313976,2,6.920288866,3.266186227,2,0,0,0,0,0,0
19,3.65444228,5.477629217,0,7.20243668,4.894052571,0,5.422941337,5.100011921,5,3.65444228,0,0,0,0,0,4.412609449,6.58677265,0
19,3.65444228,5.477629217,0,7.20243668,4.894052571,0,5.422941337,5.100011921,5,3.65444228,0,0,0,0,0,4.412609449,6.58677265,2
19,3.65444228,5.477629217,0,7.20243668,4.894052571,0,4.982565543,4.546154762,2,3.65444228,0,0,0,0,0,4.412609449,6.58677265,2
20,1.635739422,5.177808552,1,6.8830049,4.537016632,0,0,0,0,1.635739422,0,0,0,0,0,0,0,0
20,1.635739422,5.177808552,1,6.8830049,4.537016632,1,2.922649675,3.625042014,0,1.635739422,0,0,0,0,0,0,0,0
19,3.65444228,5.477629217,0,7.20243668,4.894052571,0,4.982565543,4.546154762,2,3.65444228,0,0,5.699711963,7.880772765,1,4.412609449,6.58677265,2
20,1.635739422,5.177808552,1,6.8830049,4.537016632,1,2.922649675,3.625042014,2,1.635739422,0,0,0,0,0,0,0,0
20,1.635739422,5.177808552,1,6.8830049,4.537016632,1,2.922649675,3.625042014,2,1.635739422,4.608515808,2,0,0,0,0,0,0
21,4.298931127,1.983157497,0,1.816820398,5.557480719,0,7.530961668,5.263761355,4,4.298931127,0,0,0,0,0,7.057947769,7.44486411,0
21,4.298931127,1.983157497,0,1.816820398,5.557480719,0,7.530961668,5.263761355,4,4.298931127,0,0,0,0,0,7.057947769,7.44486411,2
21,4.298931127,1.983157497,0,1.816820398,5.557480719,0,5.441549255,6.354657238,2,4.298931127,0,0,0,0,0,7.057947769,7.44486411,2
21,4.298931127,1.983157497,0,1.816820398,5.557480719,0,5.441549255,6.354657238,2,4.298931127,5.175734937,3,0,0,0,7.057947769,7.44486411,2
22,5.504476335,6.899475538,0,6.077782623,7.401257918,0,6.43050241,4.072151043,3,5.504476335,0,0,0,0,0,6.468484622,6.93703887,0
22,5.504476335,6.899475538,0,6.077782623,7.401257918,0,6.43050241,4.072151043,3,5.504476335,0,0,0,0,0,6.468484622,6.93703887,1
23,5.608709787,4.743856032,0,2.201986055,6.046165674,0,5.994089921,5.056438893,4,5.608709787,0,0,0,0,0,8.549652489,3.637739921,0
