Rank,Camera1_Performance,Camera2_Performance,Camera3_Performance,Camera4_Performance,Camera5_Performance,Camera6_Performance,Camera7_Performance,Camera8_Performance,Camera9_Performance
90,50.31899871773856,38.5542010030152,40.57297963379056,23.38239765568224,45.36902213822992,0.0,0.0,48.84607243693716,0.0
91,43.9332817150634,60.68877275763944,42.73692473359288,44.9637403537458,0.0,0.0,0.0,37.416272026456525,0.0
92,56.946739179892646,58.0087350435332,39.12227940934828,33.14032604409204,0.0,29.8096274505294,48.48607187855092,48.462530030834365,49.01557720644537
93,47.72120069463104,43.19694138651749,34.73761551856508,32.6038688689096,45.47806643055456,0.0,0.0,36.50187167535677,0.0
94,66.45258525438676,41.21050873858156,44.666778485121725,53.82404293063344,0.0,35.61640762865657,0.0,55.10273029248497,40.88200243291013
95,57.60285125115956,41.5740258159904,52.953302933492644,38.60351585671676,0.0,37.3631737472352,34.50874168333464,46.80411029078416,35.50413241799084
96,53.97584759579384,46.112954894108206,30.495209576293924,34.25400593582868,0.0,52.93300627324764,40.58953450148852,52.55475873109005,47.11880281003796
97,56.39810231755532,53.61602392613485,45.27821250300761,30.18080815967956,0.0,52.90558937937324,50.34569427814988,29.66052402130624,34.33513006373704
98,39.49791825218452,41.9163680343404,45.70035047568769,24.30199761558244,0.0,44.5208616061392,29.827402379542477,55.12861249897865,45.09865969286364
99,52.180442967128684,48.75357307549093,61.81911776467057,53.247421379972884,0.0,35.52899589205533,0.0,44.2856163757882,40.65029462762792
100,39.70249018268984,53.381727392933044,51.819153434458,36.59480973364628,0.0,0.0,0.0,54.00621435261313,0.0
101,40.42139390532979,29.708920200725597,34.48989099349281,21.95861339793616,0.0,36.47705432005516,60.36583740206196,49.98119110886928,41.6776636689922
102,34.18552851123772,69.24760912101793,48.46756465222604,39.6692072320754,0.0,0.0,0.0,38.902647671289365,0.0
103,55.16600401844296,63.19406494525861,44.2680542412082,32.376336331440406,0.0,38.80266763989252,37.20806082215524,57.519812457814766,38.28878330447496
104,43.2345884560382,29.786972299582683,40.36922210771312,37.248116686430244,0.0,0.0,0.0,52.40288929816236,0.0
105,47.58114044632028,40.25935469371256,25.1592385681338,30.238438622857643,0.0,34.539669639557324,34.43174119571088,22.547846858749367,32.31639688033296
106,35.180533157008796,51.63214686609084,39.94678665612972,37.35945899515672,0.0,0.0,0.0,26.494852129680524,0.0
107,43.43624410047361,61.01257089270364,43.97325529937432,44.428556159566526,0.0,31.360200430706044,0.0,50.71009440496263,39.397590255462404
108,34.07370211082784,45.49907134678188,54.83178617557821,25.81217363847788,52.12461512490728,46.37926110932792,0.0,48.515878303949606,36.684178551699084
109,46.42613884714064,43.39153190869196,44.123978325939724,37.18584285467704,0.0,47.651882056194324,0.0,52.680767912336556,23.7666742025546
110,47.99086503807932,51.65982691752853,45.085012432234564,37.07849131522744,0.0,30.217009136231844,45.640588198513676,37.17704911650556,37.848074414492686
111,42.12224368283692,51.7375605924282,43.8308205251216,49.36454930045904,0.0,0.0,0.0,45.629511572433806,0.0
112,37.6946736715082,57.16992531414225,49.660319514609604,26.5273786107604,55.40804220255264,19.377684427814202,0.0,40.737305752808965,40.245527698029605
113,43.430932980721124,64.47965466811104,50.193511268122236,42.25910902025888,0.0,43.7857190717772,0.0,39.789745037815116,49.70033117069884
114,48.18045691078176,52.07575985808253,51.88291808207117,33.86803963648184,0.0,41.57308234191272,41.88535180924984,41.66129805382424,45.77635689740448
115,53.999212757006596,37.547698865801,47.19386986221132,34.65435989667532,0.0,45.37411386643852,42.632984823961486,34.38619512261848,28.00509890470232
116,50.86869231282041,46.53739292171565,48.31818749051972,21.466851559638002,50.55637013334735,0.0,0.0,50.667195798290685,0.0
117,43.044783842357276,45.09784044595633,42.655508347038804,36.89487040975484,0.0,48.233490526163116,55.711670843279435,46.58798983513201,44.19719427187132
118,42.10796372327328,50.76044659920584,49.42172493187884,30.38235776644152,0.0,49.31977928299969,32.036990202429685,49.28084558271312,29.82193220930468
119,50.410692375925606,46.2936960005494,51.09473580276159,34.51018752295492,55.768492544112604,40.69361818278209,0.0,61.48431085264476,39.4907081314236
120,51.8206138194744,59.339636754447646,42.02861613903864,42.78218060817376,0.0,39.60911008436388,0.0,55.10530970117553,39.91169051683772
121,43.208484484900524,42.3487315142656,47.947719327718715,25.10866664934108,0.0,41.43182994819337,38.67287982202948,39.16967632849753,43.39320940740716
122,53.969842805077604,66.0633473484742,40.51930485372116,27.445265854270843,52.6447365765076,0.0,0.0,53.73471747993732,0.0
123,44.31798796639428,56.81613332507565,44.74754098186108,29.83458050806616,0.0,49.864811500775524,41.970419859452235,47.137903852206044,43.690029140244725
124,40.57261335223296,47.240766998500284,49.675905435480324,25.9245994892494,0.0,39.57104532423732,51.76931555241801,55.41349471931576,45.170086429048965
125,52.557412368679394,44.07872297671884,38.559434137071925,32.340186405126,48.5453041664918,39.2775396251728,0.0,38.56856414962628,29.132434137484964
126,61.03228069000588,48.64203426735645,38.6383187394448,48.764252449151165,0.0,38.50097804753504,0.0,50.32711731785089,35.21147307810352
127,30.857255257642002,43.7264282563054,39.7709499000458,49.189703643059005,0.0,0.0,0.0,38.604891781517594,0.0
128,49.34160088845472,45.99612920043221,45.44148943554556,45.76250951557444,0.0,43.18452944213136,0.0,60.28184593819817,28.412636512514684
129,42.18886543438288,49.10765238541044,46.69724253811032,44.05775224496452,0.0,0.0,0.0,45.13080247146272,0.0
130,54.442410508163164,61.28323879218019,49.440046171399246,43.27571544213696,0.0,34.86790914775892,0.0,42.393721074351674,48.199128937983126
131,55.164480446692,34.068633319225604,56.52516557554764,32.41375904772632,52.31012836142801,35.56012506118045,0.0,57.55850916080797,20.46334417365692
132,51.08249069419932,56.3194677974512,40.86088695768184,26.42774162538788,48.65678437737295,41.8918245312852,0.0,47.482064271828044,38.09499461715332
133,38.91841507233836,46.778256037956886,41.70963859921788,20.46791160195308,0.0,39.95386781106048,35.3757939365392,28.44722368318484,37.014271518797685
134,55.714483963950045,52.13706358176321,46.90637462766536,35.36065726393548,0.0,29.33324665688948,39.384168754251114,41.94142775191284,39.08375689060104
135,50.117298457079364,34.75139516348956,41.66990020113908,53.643779883510724,0.0,0.0,0.0,50.28993536633276,0.0
136,55.515851929574644,28.09177094212424,64.23788717438872,29.960607458289363,0.0,39.10918587673669,45.39672547458496,39.452060818858484,27.613027238508682
137,67.8184597646185,52.887723486315885,55.072743201671436,44.33046175322672,0.0,42.97028026000848,0.0,38.377513792874005,35.278308630878364
138,45.10170481762237,55.3047137326812,34.53226164471048,40.18547882078532,0.0,0.0,0.0,52.930789683138045,0.0
139,42.746038396324,33.776582463986806,42.642581431025,28.49787872447676,46.39468094446044,30.373034735126204,0.0,46.53770573041936,43.35622954782888
140,43.26559805605764,37.84284785671021,38.30922263462168,29.739531631717757,0.0,36.16526112563396,46.040784075065524,33.25632278175096,45.6760225306544
141,47.49229407112304,48.86311974738084,48.99275765757421,59.302297866205,0.0,46.748834210080766,0.0,44.95908988382185,57.32144484647239
142,32.414630252812636,43.20329315752996,48.04358517618217,20.88589992136736,0.0,50.50557932798188,41.45166099956904,51.70508220709933,29.117716700036123
