Rank,Angle1,Distance1,Density1,Angle2,Distance2,Density2,Angle3,Distance3,Density3,Angle4,Distance4,Density4,Angle5,Distance5,Density5,Angle6,Distance6,Density6
 6,3.8582817056507,3.99113550028187,1,3.30277913316124,2.24989283072888,1,5.42607595151277,7.44564442361193,4,3.8582817056507,0,0,0,0,0,0,0,0
 6,3.8582817056507,3.99113550028187,1,3.30277913316124,2.24989283072888,1,5.42607595151277,7.44564442361193,4,3.8582817056507,0,0,4.88606553118414,4.48760653220068,1,0,0,0
 7,6.67102658819813,6.19398637940864,0,4.46612870439821,3.34721888969639,0,5.01428853943456,5.44351297380639,4,6.67102658819813,0,0,0,0,0,6.46293098396346,4.08704028659318,0
 7,6.67102658819813,6.19398637940864,0,4.46612870439821,3.34721888969639,0,5.01428853943456,5.44351297380639,4,6.67102658819813,0,0,0,0,0,6.46293098396346,4.08704028659318,1
 8,3.36884545935894,4.83355197492706,0,5.54493474951365,3.82421018373124,0,4.0903424142053,4.18349880316273,1,3.36884545935894,0,0,0,0,0,2.51018551781327,4.96018795546096,0
 8,3.36884545935894,4.83355197492706,0,5.54493474951365,3.82421018373124,0,4.0903424142053,4.18349880316273,1,3.36884545935894,0,0,0,0,0,2.51018551781327,4.96018795546096,1
 8,3.36884545935894,4.83355197492706,0,5.54493474951365,3.82421018373124,0,6.45469469154406,5.45183676359332,2,3.36884545935894,0,0,0,0,0,2.51018551781327,4.96018795546096,1
 8,3.36884545935894,4.83355197492706,0,5.54493474951365,3.82421018373124,0,6.45469469154406,5.45183676359332,2,3.36884545935894,6.42430785290442,2,0,0,0,2.51018551781327,4.96018795546096,1
 9,7.18545660723612,2.589120499688,0,4.43165603798454,6.07951527177327,0,3.73930285182471,3.55735765881615,5,7.18545660723612,0,0,0,0,0,4.69052447357521,8.42554989346043,0
 9,7.18545660723612,2.589120499688,0,4.43165603798454,6.07951527177327,0,3.73930285182471,3.55735765881615,5,7.18545660723612,0,0,0,0,0,4.69052447357521,8.42554989346043,1
