Rank,Camera1_Performance,Camera2_Performance,Camera3_Performance,Camera4_Performance,Camera5_Performance,Camera6_Performance,Camera7_Performance,Camera8_Performance,Camera9_Performance
106,42.20729482081176,33.2965950408266,45.538462728674475,47.70185202882916,0.0,0.0,0.0,54.683149704694124,0.0
107,47.94350190389468,47.171725755476565,39.943416154141076,52.64020093278204,0.0,31.360200430706044,0.0,46.93374223824024,39.397590255462404
108,53.593823429335444,52.78192428829189,50.0137722032742,25.76634880176008,48.12188269912584,46.37926110932792,0.0,44.31002266305304,36.684178551699084
109,35.001185552694444,27.746385469964117,40.407669225977045,48.89861806618776,0.0,47.651882056194324,0.0,48.906568672465326,23.7666742025546
110,38.25940689206164,39.881840945610435,31.236065426780524,18.667616422992282,0.0,30.217009136231844,36.2167902257312,32.1514234866188,37.848074414492686
111,49.69180888995473,45.88794583048197,49.07364219210748,33.41677467477264,0.0,0.0,0.0,26.452003874343443,0.0
112,49.48296257487792,53.25167135993312,43.339659916461436,26.50430580185688,51.255337680356526,19.377684427814202,0.0,42.964834355247206,40.245527698029605
113,36.62920821136688,48.49618754982688,48.687252333333795,48.30376600045309,0.0,43.7857190717772,0.0,43.366321539843675,49.70033117069884
114,35.42194385172776,37.179712713915485,45.77285468472409,15.7217664256928,0.0,41.57308234191272,34.40045003698296,34.29546458531713,45.77635689740448
115,38.21840658540956,42.18561209610665,56.075326543573276,15.111473187482083,0.0,45.37411386643852,38.08851880792492,34.685612664569646,28.00509890470232
116,42.93854684449148,51.68971434509836,36.598218014281926,29.517126270416323,45.91048485257676,0.0,0.0,43.77031609936816,0.0
117,28.63243607818032,42.9250570437598,32.38410737190592,11.3378505236928,0.0,48.233490526163116,31.36101404936228,33.10017337226192,44.19719427187132
118,40.334031021083035,41.43686794033536,55.34742259563852,19.49279311678008,0.0,49.31977928299969,50.134933318656195,32.44453064786412,29.82193220930468
119,40.44040013073689,48.48897164938636,47.19420881409035,13.426867684826203,51.62209396795636,40.69361818278209,0.0,41.44943516173949,39.4907081314236
120,24.444719865615394,45.67514457959584,36.08153529723668,29.084452387085037,0.0,39.60911008436388,0.0,50.70513251063345,39.91169051683772
121,50.28920847543164,43.32799049244288,44.42779331985196,23.323087118190042,0.0,41.43182994819337,39.04524407235296,44.03210037156384,43.39320940740716
