Rank,Camera1_Performance,Camera2_Performance,Camera3_Performance,Camera4_Performance,Camera5_Performance,Camera6_Performance,Camera7_Performance
22,48.61580749250452,53.916162162517125,45.39661694493908,22.01790534008136,0.0,42.01061381079532,47.38595700487724
23,35.87074098227452,38.19108109611881,44.20211525843424,42.11952561322024,0.0,48.74956963729689,0.0
24,50.56468517658737,49.65956748106996,39.378727853313436,26.30099849423036,0.0,28.648374066538203,28.497204470811
25,29.470235398826,46.05654333199756,27.144286235220243,39.97401996041232,0.0,0.0,0.0
26,37.84132403824072,35.95930304539064,51.46798443859696,16.79202946024812,0.0,26.584987990029678,30.992606916590837
27,31.507808010129963,26.917786286580082,40.71403042848236,17.06856965067632,35.50823530575664,0.0,0.0
28,43.2227883142712,44.03810941213601,33.445014915286244,27.94786011812264,0.0,0.0,0.0
29,42.465554183319,44.25564503463241,39.39896805783252,37.42450726245896,0.0,49.27349575875636,0.0
30,46.053393951630845,43.562943426857245,43.36675322602508,45.174087941536165,0.0,0.0,0.0
31,42.57811504386708,47.98384573699088,26.80430734091836,26.65109052761172,0.0,0.0,0.0
32,36.2400854543608,43.67869860944956,48.27527051835273,43.0388733494092,0.0,0.0,0.0
33,51.774410939939955,43.39840546075672,46.492476699061285,50.813833213175194,0.0,0.0,0.0
34,46.37175998589828,52.06620079224928,43.19301738055824,42.75212391681229,0.0,31.054652452699322,0.0
35,23.11073104758216,28.472987968948882,51.698195478313245,8.828767796523723,0.0,43.42199848418808,40.77100276926644
36,37.70956759862792,46.413387267853004,63.80709211360512,16.064403169887605,19.782233937348444,53.81191363936384,0.0
37,42.0835797718748,41.6165179922946,57.82407389386055,22.01669777808788,47.12188269912584,0.0,0.0
38,33.01704332470704,42.61750584223528,59.03874250416956,40.20070369393892,0.0,0.0,0.0
39,45.36560356777445,42.98894731636484,38.519223569010286,31.609777033046004,0.0,42.84220265068972,16.9567024872382
40,31.7737921076904,50.718015676910724,41.081326736914605,13.08891964186052,0.0,46.91048485257676,31.715621562784246
