Rank,Angle1,Distance1,Density1,Angle2,Distance2,Density2,Angle3,Distance3,Density3,Angle4,Distance4,Density4,Angle5,Distance5,Density5,Angle6,Distance6,Density6,Angle7,Distance7,Density7
 4,7.63786704552908,5.58219041716549,1,6.05892250635396,4.84408093687291,1,7.3221942286234,3.20713608704545,3,7.63786704552908,4.55812146587474,1,0,0,0,3.66355719289556,2.81326357297157,3,0,0,0
 5,7.40406238560297,3.72225107158621,1,7.17815311131493,5.63436171737239,0,0,0,0,7.40406238560297,0,0,0,0,0,0,0,0,0,0,0
 5,7.40406238560297,3.72225107158621,1,7.17815311131493,5.63436171737239,1,5.95033966534457,3.17094163528023,0,7.40406238560297,0,0,0,0,0,0,0,0,0,0,0
 5,7.40406238560297,3.72225107158621,1,7.17815311131493,5.63436171737239,1,5.95033966534457,3.17094163528023,5,7.40406238560297,0,0,0,0,0,3.65530365264922,3.65652794620215,0,0,0,0
 5,7.40406238560297,3.72225107158621,1,7.17815311131493,5.63436171737239,1,5.95033966534457,3.17094163528023,5,7.40406238560297,0,0,0,0,0,3.65530365264922,3.65652794620215,6,0,0,0
 5,7.40406238560297,3.72225107158621,1,7.17815311131493,5.63436171737239,1,5.95033966534457,3.17094163528023,5,7.40406238560297,0,0,0,0,0,3.65530365264922,3.65652794620215,6,4.84944883823944,6.02601309691203,1
 6,5.29598660709305,2.24989283072888,1,5.53702929069356,3.48847303844712,0,0,0,0,5.29598660709305,0,0,0,0,0,0,0,0,0,0,0
 6,5.29598660709305,2.24989283072888,1,5.53702929069356,3.48847303844712,1,6.26320782948771,7.44564442361193,0,5.29598660709305,0,0,0,0,0,0,0,0,0,0,0
 6,5.29598660709305,2.24989283072888,1,5.53702929069356,3.48847303844712,1,6.26320782948771,7.44564442361193,2,5.29598660709305,0,0,0,0,0,0,0,0,0,0,0
 6,5.29598660709305,2.24989283072888,1,5.53702929069356,3.48847303844712,1,6.26320782948771,7.44564442361193,2,5.29598660709305,0,0,4.95712793066462,2.84455394456565,2,0,0,0,0,0,0
 7,8.64786930280753,6.19398637940864,1,6.59680412174353,3.34721888969639,0,0,0,0,8.64786930280753,0,0,0,0,0,0,0,0,0,0,0
 7,8.64786930280753,6.19398637940864,1,6.59680412174353,3.34721888969639,1,5.51175229950434,5.95314923404743,0,8.64786930280753,0,0,0,0,0,0,0,0,0,0,0
 7,8.64786930280753,6.19398637940864,1,6.59680412174353,3.34721888969639,1,5.51175229950434,5.95314923404743,3,8.64786930280753,0,0,0,0,0,5.01428853943456,5.44351297380639,0,0,0,0
 7,8.64786930280753,6.19398637940864,1,6.59680412174353,3.34721888969639,1,5.51175229950434,5.95314923404743,3,8.64786930280753,0,0,0,0,0,5.01428853943456,5.44351297380639,7,0,0,0
 7,8.64786930280753,6.19398637940864,1,6.59680412174353,3.34721888969639,1,5.51175229950434,5.95314923404743,3,8.64786930280753,0,0,0,0,0,5.01428853943456,5.44351297380639,7,3.28816714020866,6.53510074352838,2
 8,6.78861608846338,5.92088177578451,1,6.70582912890211,2.59862759281134,0,0,0,0,6.78861608846338,0,0,0,0,0,0,0,0,0,0,0
 8,6.78861608846338,5.92088177578451,1,6.70582912890211,2.59862759281134,1,5.30694384802087,4.18349880316273,0,6.78861608846338,0,0,0,0,0,0,0,0,0,0,0
