Rank,Camera1_Performance,Camera2_Performance,Camera3_Performance,Camera4_Performance,Camera5_Performance,Camera6_Performance
33,39.458206231999995,53.774410939999996,46.492476696000004,42.028967288,0.0,0.0
34,30.926088308,17.956702487999998,41.19301738,48.439579204,0.0,31.054652452000003
35,24.110731048,28.472987968,39.42199848400001,8.828767796,0.0,47.87026053600001
36,50.382095392000004,33.715621564,59.80709211200001,21.397985135999996,43.420482404000005,53.81191364
37,34.938332888,44.083579772,57.824073891999994,17.750685408,59.020576372,0.0
38,35.927204364000005,34.017043324,59.038742504000005,24.558738712,0.0,0.0
39,47.365603568000004,42.988947316,37.842202652,31.609777032000004,0.0,43.30814830400001
40,32.773792104,50.71801567600001,44.910484851999996,13.088919640000002,0.0,36.989353736000005
41,39.573144536,42.830886615999994,44.348644416000006,13.266010136,0.0,44.612383008
42,37.77896361599999,42.915867772000006,32.570157988000005,14.856791927999998,0.0,41.347766416
43,42.219580144000005,35.69646667600001,40.730387112,50.280345216,0.0,31.228314219999998
44,39.132256328000004,43.26927097600001,38.11549204,28.581226572000002,0.0,20.484688744000003
45,25.481996492000004,43.843440948,32.486712392,29.769925063999995,0.0,30.495292287999998
46,22.183918208,35.100876852,34.882086388,17.227295316000003,25.437733016000003,0.0
47,53.190413528,56.305546275999994,36.099611552,50.064697928000015,0.0,49.774712396
48,42.500092192,45.643082096,47.66028888,22.435333788,0.0,0.0
49,45.345665824,39.806007692,35.529632856,21.772059768,0.0,49.515275768
50,34.666119652000006,21.226840136000003,34.2115885,38.895331076,0.0,0.0
51,37.63775188,32.695825804,37.232379716000004,46.553237516,0.0,0.0
52,39.55786338,39.521025604,49.875613844,41.933340744000006,0.0,43.312116712000005
53,36.294052176,38.230233188,37.436080696000005,38.590002984,0.0,0.0
54,51.695472604,48.43465746,30.468037268000003,29.102280272,0.0,37.718085444
55,25.196194923999997,29.153516756000002,40.255720616000005,14.903879196,46.59759042,0.0
56,29.95924766,29.940305524,46.097057848,12.762242112,0.0,41.704994408000005
57,27.775726948000003,25.211014203999998,33.349979384,10.66008786,0.0,45.861734072000004
58,41.990859324,18.914284236,43.231894860000004,48.579777252,0.0,0.0
59,46.11318324,52.955212163999995,36.800679267999996,40.935036044,0.0,0.0
60,25.004730283999997,52.036472328,50.210507756,21.612499967999998,0.0,0.0
61,38.857180572000004,34.08410954,29.210447604000002,25.338619124,0.0,43.113158616
62,44.603948516,30.087445624000004,38.692611804,25.891993211999996,0.0,36.057951868
63,39.58391255200001,45.628694148,29.854562792,48.44962686800001,0.0,0.0
64,49.681109304,35.420411095999995,53.55730383200002,37.185487348,0.0,0.0
65,46.986438476000004,40.602386712000005,42.108268244,40.380274132000004,0.0,47.101432672
66,33.645395832000005,42.863107272,34.311231148,22.480567876000002,0.0,46.819294160000005
67,35.509509728,40.44774322,34.99594044,37.82366068,0.0,0.0
68,25.716699367999997,25.417606384000003,29.548982256000002,16.119839772,48.075355256,0.0
69,38.14786273600001,50.30364357200001,43.300209351999996,40.392225008000004,0.0,0.0
70,42.445713839999996,53.74644901600001,45.106121980000005,43.748670324,0.0,0.0
71,40.93512458400001,40.80891373200001,43.692800940000005,31.049778636000003,0.0,34.878859636
72,32.990843084,30.090537736,45.564582996000006,32.812017856,0.0,41.717015108
73,44.723957304,42.090737356,44.87999375200001,38.696197556,0.0,0.0
74,32.145028416,23.877919904,25.038530748,9.138841724000002,0.0,53.429812592000005
75,40.502532552,47.193553876,36.742676452,17.36956728,0.0,36.583444536
76,45.183235764,32.673280008,31.247836788,21.189133972,0.0,59.346555184
77,42.068876708000005,44.866957944,44.060310696,28.817827056,35.189721852,45.897287072000005
78,28.791577236,38.096626016,19.896006424,15.465596744,0.0,38.348881392
79,45.019625952,30.336479540000006,24.775762308,35.879595556,0.0,0.0
80,41.238733608,37.740597392,41.145241332000005,21.147450784,57.34299216800001,33.664742936
81,49.297181764,47.278470676,31.611088836,24.672901656,0.0,48.238754444
82,31.648780108,29.722957004,63.658958476,35.69044652,0.0,50.278959212000004
83,39.756740452,41.298818428000004,38.13733999600001,33.277153804,0.0,0.0
84,55.389217304000006,39.35592760000001,29.185885588000005,51.965482348,0.0,42.954575728
85,46.291637316,35.447370556,50.53980250000001,44.718349464,0.0,40.912281027999995
86,54.10253416799999,43.510824340000006,42.00664686,43.876998288,0.0,39.59833418400001
87,25.610271004,38.99274504,28.430523800000003,14.843300840000001,0.0,41.879333652
