Rank,Angle1,Distance1,Density1,Angle2,Distance2,Density2,Angle3,Distance3,Density3,Angle4,Distance4,Density4,Angle5,Distance5,Density5,Angle6,Distance6,Density6,Angle7,Distance7,Density7
 3,3.72388459326849,4.76977948468513,1,6.08453932876055,5.84484021054126,0,0,0,0,3.72388459326849,0,0,0,0,0,0,0,0,0,0,0
 3,3.72388459326849,4.76977948468513,1,6.08453932876055,5.84484021054126,1,5.20359938709634,5.43474136532242,0,3.72388459326849,0,0,0,0,0,0,0,0,0,0,0
 3,3.72388459326849,4.76977948468513,1,6.08453932876055,5.84484021054126,1,5.20359938709634,5.43474136532242,4,3.72388459326849,0,0,0,0,0,4.5177247023777,5.58251562800783,0,0,0,0
 3,3.72388459326849,4.76977948468513,1,6.08453932876055,5.84484021054126,1,5.20359938709634,5.43474136532242,4,3.72388459326849,0,0,0,0,0,4.5177247023777,5.58251562800783,5,0,0,0
 3,3.72388459326849,4.76977948468513,1,6.08453932876055,5.84484021054126,1,5.03707357334776,7.81881648512061,2,3.72388459326849,0,0,0,0,0,4.5177247023777,5.58251562800783,5,0,0,0
 3,3.72388459326849,4.76977948468513,1,6.08453932876055,5.84484021054126,1,5.03707357334776,7.81881648512061,2,3.72388459326849,3.99113550028187,2,0,0,0,4.5177247023777,5.58251562800783,5,0,0,0
 4,5.33686489290204,5.58219041716549,1,4.40164347082512,4.84408093687291,0,0,0,0,5.33686489290204,0,0,0,0,0,0,0,0,0,0,0
 4,5.33686489290204,5.58219041716549,1,4.40164347082512,4.84408093687291,1,5.55095541264447,6.56433370214822,0,5.33686489290204,0,0,0,0,0,0,0,0,0,0,0
 4,5.33686489290204,5.58219041716549,1,4.40164347082512,4.84408093687291,1,5.55095541264447,6.56433370214822,4,5.33686489290204,0,0,0,0,0,3.66355719289556,2.81326357297157,0,0,0,0
 4,5.33686489290204,5.58219041716549,1,4.40164347082512,4.84408093687291,1,5.55095541264447,6.56433370214822,4,5.33686489290204,0,0,0,0,0,3.66355719289556,2.81326357297157,3,0,0,0
 4,5.33686489290204,5.58219041716549,1,4.40164347082512,4.84408093687291,1,6.30222781058979,3.20713608704545,3,5.33686489290204,0,0,0,0,0,3.66355719289556,2.81326357297157,3,0,0,0
 4,5.33686489290204,5.58219041716549,1,4.40164347082512,4.84408093687291,1,6.30222781058979,3.20713608704545,3,5.33686489290204,4.55812146587474,1,0,0,0,3.66355719289556,2.81326357297157,3,0,0,0
 5,5.3112466334237,3.72225107158621,1,5.14671404708876,5.63436171737239,0,0,0,0,5.3112466334237,0,0,0,0,0,0,0,0,0,0,0
 5,5.3112466334237,3.72225107158621,1,5.14671404708876,5.63436171737239,1,5.12456820188017,3.17094163528023,0,5.3112466334237,0,0,0,0,0,0,0,0,0,0,0
 5,5.3112466334237,3.72225107158621,1,5.14671404708876,5.63436171737239,1,5.12456820188017,3.17094163528023,5,5.3112466334237,0,0,0,0,0,3.65530365264922,3.65652794620215,0,0,0,0
 5,5.3112466334237,3.72225107158621,1,5.14671404708876,5.63436171737239,1,5.12456820188017,3.17094163528023,5,5.3112466334237,0,0,0,0,0,3.65530365264922,3.65652794620215,6,0,0,0
 5,5.3112466334237,3.72225107158621,1,5.14671404708876,5.63436171737239,1,5.12456820188017,3.17094163528023,5,5.3112466334237,0,0,0,0,0,3.65530365264922,3.65652794620215,6,5.80751674105449,6.02601309691203,1
 6,3.30277913316124,2.24989283072888,1,3.64172490598476,3.48847303844712,0,0,0,0,3.30277913316124,0,0,0,0,0,0,0,0,0,0,0
 6,3.30277913316124,2.24989283072888,1,3.64172490598476,3.48847303844712,1,5.42607595151277,7.44564442361193,0,3.30277913316124,0,0,0,0,0,0,0,0,0,0,0
 6,3.30277913316124,2.24989283072888,1,3.64172490598476,3.48847303844712,1,5.42607595151277,7.44564442361193,2,3.30277913316124,0,0,0,0,0,0,0,0,0,0,0
 6,3.30277913316124,2.24989283072888,1,3.64172490598476,3.48847303844712,1,5.42607595151277,7.44564442361193,2,3.30277913316124,0,0,4.04387065236272,2.84455394456565,2,0,0,0,0,0,0
 7,6.67102658819813,6.19398637940864,1,4.46612870439821,3.34721888969639,0,0,0,0,6.67102658819813,0,0,0,0,0,0,0,0,0,0,0
 7,6.67102658819813,6.19398637940864,1,4.46612870439821,3.34721888969639,1,4.67745246332397,5.95314923404743,0,6.67102658819813,0,0,0,0,0,0,0,0,0,0,0
 7,6.67102658819813,6.19398637940864,1,4.46612870439821,3.34721888969639,1,4.67745246332397,5.95314923404743,3,6.67102658819813,0,0,0,0,0,5.01428853943456,5.44351297380639,0,0,0,0
 7,6.67102658819813,6.19398637940864,1,4.46612870439821,3.34721888969639,1,4.67745246332397,5.95314923404743,3,6.67102658819813,0,0,0,0,0,5.01428853943456,5.44351297380639,4,0,0,0
 7,6.67102658819813,6.19398637940864,1,4.46612870439821,3.34721888969639,1,4.67745246332397,5.95314923404743,3,6.67102658819813,0,0,0,0,0,5.01428853943456,5.44351297380639,4,4.1147748982867,6.53510074352838,2
 8,4.7452489585115,5.92088177578451,1,4.73211303015424,2.59862759281134,0,0,0,0,4.7452489585115,0,0,0,0,0,0,0,0,0,0,0
 8,4.7452489585115,5.92088177578451,1,4.73211303015424,2.59862759281134,2,4.0903424142053,4.18349880316273,0,4.7452489585115,0,0,0,0,0,0,0,0,0,0,0
 8,4.7452489585115,5.92088177578451,1,4.73211303015424,2.59862759281134,2,4.0903424142053,4.18349880316273,4,4.7452489585115,0,0,0,0,0,2.51018551781327,4.96018795546096,0,0,0,0
 8,4.7452489585115,5.92088177578451,1,4.73211303015424,2.59862759281134,2,4.0903424142053,4.18349880316273,4,4.7452489585115,0,0,0,0,0,2.51018551781327,4.96018795546096,1,0,0,0
 8,4.7452489585115,5.92088177578451,1,4.73211303015424,2.59862759281134,2,6.45469469154406,5.45183676359332,4,4.7452489585115,0,0,0,0,0,2.51018551781327,4.96018795546096,1,0,0,0
 8,4.7452489585115,5.92088177578451,1,4.73211303015424,2.59862759281134,2,6.45469469154406,5.45183676359332,4,4.7452489585115,5.29642962350135,2,0,0,0,2.51018551781327,4.96018795546096,1,0,0,0
 9,6.16559376541381,3.16576536890779,1,4.30403455827343,5.09731693519742,0,0,0,0,6.16559376541381,0,0,0,0,0,0,0,0,0,0,0
 9,6.16559376541381,3.16576536890779,1,4.30403455827343,5.09731693519742,1,3.73930285182471,3.55735765881615,0,6.16559376541381,0,0,0,0,0,0,0,0,0,0,0
 9,6.16559376541381,3.16576536890779,1,4.30403455827343,5.09731693519742,1,3.73930285182471,3.55735765881615,1,6.16559376541381,0,0,0,0,0,4.69052447357521,8.42554989346043,0,0,0,0
 9,6.16559376541381,3.16576536890779,1,4.30403455827343,5.09731693519742,1,3.73930285182471,3.55735765881615,1,6.16559376541381,0,0,0,0,0,4.69052447357521,8.42554989346043,6,0,0,0
